la,ld,nd,ns,ent,nrev,rtime,hcmt,self,ndev,age,app,asexp,rsexp,asawr,rsawr,defect
16,0,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
29,16,1,1,0.9111827630289002,1.0,0.10591435185185184,3.0,0,0.0,0.0,1.0,3.0,1.0,0.0327868852459016,0.0163934426229508,False
182,0,1,11,0.302923846673601,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0,17,2,1,0.9967828263127352,1.0,2.2632291666666666,6.0,0,2.0,10.131743827160493,3.0,6.0,13.0,0.056910569105691,0.1138211382113821,False
154,13,2,2,0.573503150147612,2.0,0.1488773148148148,0.0,1,1.0,0.11657738095238095,1.0,5.0,5.0,0.0422535211267605,0.0422535211267605,True
40,18,1,1,0.612317691790032,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
876,0,2,2,0.8287492879958117,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
38,152,2,1,0.8197734147457508,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0,0,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
20,12,3,2,0.9411763975446988,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
76,47,2,1,0.6626939803568686,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
19,2,2,2,0.7918583525674836,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
16,119,3,1,0.7348230585128187,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
26,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,1,1,1,0.0,1.0,0.05815972222222222,0.0,1,2.0,1.7238773148148148,1.0,9.0,9.0,0.08,0.08,True
