la,nd,ns,ent,nrev,rtime,self,ndev,age,app,rrexp,asawr,rsawr,defect
9,1,1,0.9057125980138372,2.0,1.7804861111111112,0,12.0,8.14514274691358,3.0,82.0,0.0277777777777777,0.2534722222222222,False
275,5,1,0.5832156330277793,3.0,1.7297337962962962,0,25.0,0.09758101851851853,2.0,272.0,0.1141868512110726,0.6816608996539792,False
2,1,1,0.0,1.0,1.1881481481481482,0,4.0,8.185914351851851,2.0,105.0,0.2241379310344827,0.3517241379310344,False
25,2,1,0.4021791902022728,2.0,35.94858796296296,0,23.0,0.5147916666666666,5.0,166.0,0.2302405498281786,0.4501718213058419,False
19,2,1,0.6098403047164004,2.0,23.100810185185185,0,18.0,7.940775462962963,3.0,186.0,0.2328767123287671,0.5171232876712328,False
47,2,1,0.5034126981104403,11.0,21.874363425925925,0,2.0,0.0,2.0,131.0,0.0068027210884353,0.3299319727891156,False
288,7,2,0.6483611699796322,11.0,21.868067129629633,0,30.0,0.11641782407407408,2.0,131.0,0.0034129692832764,0.3276450511945392,False
29,1,1,0.0,3.0,1.8994444444444445,0,12.0,8.475,3.0,281.0,0.0305084745762711,0.6949152542372882,False
12,2,1,0.6722948170756379,4.0,4.820648148148148,0,15.0,2.1639699074074072,4.0,59.0,0.0337837837837837,0.1891891891891892,False
3,1,1,0.0,3.0,1.8474421296296297,0,4.0,0.9376851851851852,2.0,39.0,0.0033670033670033,0.0639730639730639,False
76,1,1,0.0,5.0,-547.9036226851852,0,11.0,1.9029050925925926,2.0,16.0,0.2307692307692307,0.3076923076923077,False
11,5,1,0.9115685036857714,1.0,0.03127314814814815,0,28.0,0.36368055555555556,3.0,207.0,0.174496644295302,0.5369127516778524,False
1776,6,1,0.6231524419658165,6.0,-573.3754398148147,0,2.0,16.391045321637428,1.0,17.0,0.2,0.55,False
19,2,1,0.9709505944546686,1.0,0.13260416666666666,0,1.0,16.690601851851852,3.0,285.0,0.2374581939799331,0.6588628762541806,False
6,1,1,0.0,3.0,4.1648958333333335,0,2.0,25.842256944444443,2.0,146.0,0.0066666666666666,0.3466666666666667,False
272,2,1,0.1545766594036792,1.0,0.17902777777777779,0,21.0,0.7981134259259259,2.0,266.0,0.0897009966777408,0.6212624584717608,False
63,2,1,0.3175975731748472,1.0,0.12015046296296296,0,25.0,0.20138888888888887,2.0,267.0,0.0927152317880794,0.6225165562913907,False
617,6,1,0.7322466060162176,21.0,7.663414351851852,0,27.0,4.755368923611111,4.0,161.0,0.066006600660066,0.3399339933993399,False
0,1,1,0.0,1.0,0.3149652777777778,0,11.0,0.43895833333333334,3.0,59.0,0.2335526315789473,0.1480263157894736,False
46,3,1,0.9553269964118282,4.0,11.353738425925926,0,25.0,1.846076388888889,4.0,224.0,0.0163934426229508,0.5344262295081967,False
1,1,1,0.0,3.0,33.870300925925925,0,4.0,1.8893402777777777,4.0,192.0,0.2352941176470588,0.4215686274509804,False
1,1,1,0.0,1.0,0.13398148148148148,0,21.0,0.7511111111111112,4.0,271.0,0.1107491856677524,0.6286644951140065,False
35,5,1,0.7412317747915175,1.0,3.100729166666667,0,29.0,0.13749999999999998,2.0,261.0,0.0974025974025974,0.6103896103896104,False
421,6,1,0.9550959505346588,2.0,0.9415972222222222,0,6.0,9.00028668091168,2.0,81.0,0.2233009708737864,0.2427184466019417,False
190,3,1,0.7110307793407612,7.0,12.886909722222223,0,24.0,1.9538449074074073,3.0,316.0,0.0032258064516129,0.7225806451612903,False
10,1,1,0.0,3.0,2.7884375,0,0.0,0.0,1.0,48.0,0.067524115755627,0.1446945337620578,False
2,1,1,0.0,3.0,31.542326388888892,0,11.0,2.438622685185185,2.0,20.0,0.1428571428571428,0.1428571428571428,False
0,1,1,0.0,1.0,-579.0055092592593,0,3.0,15.661643518518519,2.0,10.0,0.238095238095238,0.2857142857142857,False
74,2,1,0.9914606013843204,2.0,36.60680555555556,0,7.0,7.054398148148148,3.0,239.0,0.2156862745098039,0.9117647058823528,False
2,2,1,1.0,2.0,0.7787384259259259,0,20.0,2.9931249999999996,2.0,107.0,0.0064102564102564,0.2403846153846154,False
163,7,1,0.8878550740801873,5.0,-571.0038194444445,0,4.0,4.8061342592592595,2.0,43.0,0.2727272727272727,0.9090909090909092,False
20,1,2,0.3712323266408756,1.0,-573.374525462963,0,11.0,1.2118981481481481,3.0,28.0,0.2666666666666666,0.3333333333333333,False
0,1,1,0.0,1.0,-575.9778703703704,0,2.0,25.457905092592593,2.0,18.0,0.0869565217391304,0.4782608695652174,False
2,1,1,0.0,2.0,31.19369212962963,0,6.0,6.915891203703704,4.0,241.0,0.5,0.5454545454545454,False
277,6,1,0.5314504257784664,4.0,3.137986111111111,0,36.0,3.042225694444444,2.0,138.0,0.0702875399361022,0.2939297124600639,False
0,1,1,0.0,1.0,0.4483680555555556,0,14.0,3.4940972222222224,3.0,145.0,0.0318471337579617,0.3439490445859872,False
2,1,1,0.0,1.0,0.3347222222222222,0,21.0,3.475486111111111,2.0,114.0,0.0888888888888888,0.2539682539682539,False
0,1,1,0.0,1.0,0.3849768518518519,0,11.0,0.735162037037037,2.0,118.0,0.25,0.1875,False
1,1,1,0.0,1.0,0.3936689814814815,0,0.0,0.0,3.0,124.0,0.240506329113924,0.3227848101265823,False
1,1,1,0.0,1.0,0.015601851851851853,0,22.0,0.6271296296296297,2.0,133.0,0.0914826498422713,0.4006309148264984,False
35,2,1,0.9330252953592912,2.0,0.2819675925925926,0,25.0,0.42956597222222226,2.0,92.0,0.110062893081761,0.2578616352201258,False
47,5,1,0.6648340488182617,1.0,0.9086226851851852,0,25.0,0.0332175925925926,3.0,102.0,0.0971786833855799,0.3103448275862069,False
100,9,1,0.8292186855461527,6.0,3.9376620370370374,0,33.0,0.6890943287037037,2.0,144.0,0.03125,0.44375,False
16,2,1,0.3227569588973982,1.0,0.2494097222222222,0,7.0,25.156620370370373,3.0,95.0,0.0996884735202492,0.2647975077881619,False
1,1,1,0.0,1.0,0.1045949074074074,0,3.0,22.051319444444445,2.0,95.0,0.0372670807453416,0.2639751552795031,False
115,7,1,0.7134467109555144,3.0,0.43753472222222217,0,36.0,1.969684027777778,2.0,154.0,0.1114551083591331,0.3343653250773993,False
22,2,1,0.876716288999464,3.0,0.16710648148148147,0,21.0,0.3985648148148148,2.0,146.0,0.4969135802469135,0.3703703703703703,False
95,3,1,0.4026966651499943,3.0,0.16001157407407407,0,22.0,0.5218333333333334,2.0,166.0,0.163076923076923,0.3507692307692308,False
2,2,1,1.0,2.0,34.389664351851856,0,25.0,0.1925462962962963,3.0,252.0,0.3098159509202454,0.5398773006134969,False
475,6,2,0.1169355362127819,5.0,1.667326388888889,0,29.0,0.02084490740740741,4.0,346.0,0.1120689655172413,0.7528735632183908,False
4,1,1,0.0,1.0,0.6733912037037038,0,0.0,0.0,2.0,158.0,0.0121951219512195,0.3414634146341463,False
7,2,1,0.8112781244591328,2.0,0.021909722222222223,0,4.0,8.687569444444444,4.0,179.0,0.033434650455927,0.3860182370820669,False
14,2,1,0.9820300262123284,2.0,1.0265856481481481,0,4.0,0.2075810185185185,4.0,204.0,0.0363636363636363,0.4454545454545454,False
13,2,1,0.9927744539878084,2.0,5.507361111111112,0,9.0,0.01866898148148148,2.0,120.0,0.039274924471299,0.3504531722054381,False
246,2,1,0.3933482229367205,7.0,32.47008101851852,0,7.0,23.917399691358025,3.0,254.0,0.8640776699029126,0.912621359223301,False
2,1,1,0.0,2.0,6.5795254629629625,0,4.0,9.95917824074074,2.0,306.0,0.0288461538461538,0.7692307692307693,False
180,5,1,0.8939395341256239,3.0,3.0865393518518522,0,32.0,1.0343287037037037,3.0,184.0,0.0993975903614457,0.5150602409638554,False
1,2,2,0.1330396486106989,1.0,0.0630787037037037,0,2.0,34.60559027777778,2.0,13.0,0.1681681681681681,0.036036036036036,False
106,2,1,0.3116619886230328,2.0,6.858414351851852,0,10.0,10.321435185185186,4.0,311.0,0.819047619047619,0.9904761904761904,False
33,2,1,0.1703305756010598,1.0,0.07655092592592593,0,1.0,10.336886574074073,3.0,201.0,0.2335329341317365,0.4580838323353293,False
2,1,1,0.0,2.0,4.720451388888889,0,7.0,3.160509259259259,3.0,167.0,0.0833333333333333,0.1666666666666666,False
0,1,1,0.0,2.0,0.6560648148148148,0,13.0,1.2300810185185185,2.0,280.0,0.0597014925373134,0.5761194029850746,False
7,1,1,0.0,1.0,0.07766203703703704,0,14.0,3.523263888888889,2.0,268.0,0.0476190476190476,0.5595238095238095,False
2,1,1,0.0,1.0,0.013645833333333334,0,5.0,11.367534722222222,3.0,142.0,0.4896142433234421,0.3501483679525222,False
778,2,1,0.9181070602128504,2.0,0.7326388888888888,0,3.0,21.3817803030303,2.0,98.0,0.2366863905325443,0.2692307692307692,False
